Pos,Team,PTS,Year
9,Stewart Ford,6,1997 Constructor Standings
10,Tyrrell Ford,2,1997 Constructor Standings
1,McLaren Mercedes,156,1998 Constructor Standings
2,Ferrari,133,1998 Constructor Standings
3,Williams Mecachrome,38,1998 Constructor Standings
4,Jordan Mugen Honda,34,1998 Constructor Standings
5,Benetton Playlife,33,1998 Constructor Standings
6,Sauber Petronas,10,1998 Constructor Standings
7,Arrows,6,1998 Constructor Standings
8,Stewart Ford,5,1998 Constructor Standings
9,Prost Peugeot,1,1998 Constructor Standings
1,Ferrari,128,1999 Constructor Standings
2,McLaren Mercedes,124,1999 Constructor Standings
3,Jordan Mugen Honda,61,1999 Constructor Standings
4,Stewart Ford,36,1999 Constructor Standings
5,Williams Supertec,35,1999 Constructor Standings
6,Benetton Playlife,16,1999 Constructor Standings
7,Prost Peugeot,9,1999 Constructor Standings
8,Sauber Petronas,5,1999 Constructor Standings
9,Minardi Ford,1,1999 Constructor Standings
10,Arrows,1,1999 Constructor Standings
1,Ferrari,170,2000 Constructor Standings
2,McLaren Mercedes,152,2000 Constructor Standings
3,Williams BMW,36,2000 Constructor Standings
4,Benetton Playlife,20,2000 Constructor Standings
5,BAR Honda,20,2000 Constructor Standings
6,Jordan Mugen Honda,17,2000 Constructor Standings
7,Arrows Supertec,7,2000 Constructor Standings
8,Sauber Petronas,6,2000 Constructor Standings
9,Jaguar Cosworth,4,2000 Constructor Standings
1,Ferrari,179,2001 Constructor Standings
2,McLaren Mercedes,102,2001 Constructor Standings
3,Williams BMW,80,2001 Constructor Standings
4,Sauber Petronas,21,2001 Constructor Standings
5,Jordan Honda,19,2001 Constructor Standings
6,BAR Honda,17,2001 Constructor Standings
7,Benetton Renault,10,2001 Constructor Standings
8,Jaguar Cosworth,9,2001 Constructor Standings
9,Prost Acer,4,2001 Constructor Standings
10,Arrows Asiatech,1,2001 Constructor Standings
1,Ferrari,221,2002 Constructor Standings
2,Williams BMW,92,2002 Constructor Standings
3,McLaren Mercedes,65,2002 Constructor Standings
4,Renault,23,2002 Constructor Standings
5,Sauber Petronas,11,2002 Constructor Standings
6,Jordan Honda,9,2002 Constructor Standings
7,Jaguar Cosworth,8,2002 Constructor Standings
8,BAR Honda,7,2002 Constructor Standings
9,Minardi Asiatech,2,2002 Constructor Standings
10,Toyota,2,2002 Constructor Standings
11,Arrows Cosworth,2,2002 Constructor Standings
1,Ferrari,158,2003 Constructor Standings
2,Williams BMW,144,2003 Constructor Standings
3,McLaren Mercedes,142,2003 Constructor Standings
4,Renault,88,2003 Constructor Standings
5,BAR Honda,26,2003 Constructor Standings
6,Sauber Petronas,19,2003 Constructor Standings
7,Jaguar Cosworth,18,2003 Constructor Standings
8,Toyota,16,2003 Constructor Standings
9,Jordan Ford,13,2003 Constructor Standings
10,Minardi Cosworth,0,2003 Constructor Standings
1,Ferrari,262,2004 Constructor Standings
2,BAR Honda,119,2004 Constructor Standings
3,Renault,105,2004 Constructor Standings
4,Williams BMW,88,2004 Constructor Standings
5,McLaren Mercedes,69,2004 Constructor Standings
6,Sauber Petronas,34,2004 Constructor Standings
7,Jaguar Cosworth,10,2004 Constructor Standings
8,Toyota,9,2004 Constructor Standings
9,Jordan Ford,5,2004 Constructor Standings
10,Minardi Cosworth,1,2004 Constructor Standings
1,Renault,191,2005 Constructor Standings
2,McLaren Mercedes,182,2005 Constructor Standings
3,Ferrari,100,2005 Constructor Standings
4,Toyota,88,2005 Constructor Standings
5,Williams BMW,66,2005 Constructor Standings
6,BAR Honda,38,2005 Constructor Standings
7,RBR Cosworth,34,2005 Constructor Standings
8,Sauber Petronas,20,2005 Constructor Standings
9,Jordan Toyota,12,2005 Constructor Standings
10,Minardi Cosworth,7,2005 Constructor Standings
1,Renault,206,2006 Constructor Standings
2,Ferrari,201,2006 Constructor Standings
3,McLaren Mercedes,110,2006 Constructor Standings
4,Honda,86,2006 Constructor Standings
5,Sauber BMW,36,2006 Constructor Standings
6,Toyota,35,2006 Constructor Standings
7,RBR Ferrari,16,2006 Constructor Standings
8,Williams Cosworth,11,2006 Constructor Standings
9,STR Cosworth,1,2006 Constructor Standings
10,MF1 Toyota,0,2006 Constructor Standings
11,Super Aguri Honda,0,2006 Constructor Standings
1,Ferrari,204,2007 Constructor Standings
2,Sauber BMW,101,2007 Constructor Standings
3,Renault,51,2007 Constructor Standings
4,Williams Toyota,33,2007 Constructor Standings
5,Red Bull Renault,24,2007 Constructor Standings
6,Toyota,13,2007 Constructor Standings
7,STR Ferrari,8,2007 Constructor Standings
8,Honda,6,2007 Constructor Standings
9,Super Aguri Honda,4,2007 Constructor Standings
10,Spyker Ferrari,1,2007 Constructor Standings
EX,McLaren Mercedes,0,2007 Constructor Standings
1,Ferrari,172,2008 Constructor Standings
2,McLaren Mercedes,151,2008 Constructor Standings
3,Sauber BMW,135,2008 Constructor Standings
4,Renault,80,2008 Constructor Standings
5,Toyota,56,2008 Constructor Standings
6,STR Ferrari,39,2008 Constructor Standings
7,Red Bull Renault,29,2008 Constructor Standings
8,Williams Toyota,26,2008 Constructor Standings
9,Honda,14,2008 Constructor Standings
10,Force India Ferrari,0,2008 Constructor Standings
11,Super Aguri Honda,0,2008 Constructor Standings
1,Brawn Mercedes,172,2009 Constructor Standings
2,RBR Renault,153.5,2009 Constructor Standings
3,McLaren Mercedes,71,2009 Constructor Standings
4,Ferrari,70,2009 Constructor Standings
5,Toyota,59.5,2009 Constructor Standings
6,Sauber BMW,36,2009 Constructor Standings
7,Williams Toyota,34.5,2009 Constructor Standings
8,Renault,26,2009 Constructor Standings
9,Force India Mercedes,13,2009 Constructor Standings
10,STR Ferrari,8,2009 Constructor Standings
1,RBR Renault,498,2010 Constructor Standings
2,McLaren Mercedes,454,2010 Constructor Standings
3,Ferrari,396,2010 Constructor Standings
4,Mercedes,214,2010 Constructor Standings
5,Renault,163,2010 Constructor Standings
6,Williams Cosworth,69,2010 Constructor Standings
7,Force India Mercedes,68,2010 Constructor Standings
8,Sauber Ferrari,44,2010 Constructor Standings
9,STR Ferrari,13,2010 Constructor Standings
10,Lotus Cosworth,0,2010 Constructor Standings
11,HRT Cosworth,0,2010 Constructor Standings
12,Virgin Cosworth,0,2010 Constructor Standings
1,Red Bull Racing Renault,650,2011 Constructor Standings
2,McLaren Mercedes,497,2011 Constructor Standings
3,Ferrari,375,2011 Constructor Standings
4,Mercedes,165,2011 Constructor Standings
5,Renault,73,2011 Constructor Standings
6,Force India Mercedes,69,2011 Constructor Standings
7,Sauber Ferrari,44,2011 Constructor Standings
8,STR Ferrari,41,2011 Constructor Standings
9,Williams Cosworth,5,2011 Constructor Standings
